Name,Type,Details,Price,EMI,Discount,Location
2013 Nissan Sunny,XV DIESEL Manual,"165,352 km1st OwnerDiesel","₹423,099","₹9,412/month"," ₹23,000 OFF",Hyderabad
2014 Honda City,V MT PETROL Manual,"40,798 km1st OwnerPetrol","₹557,399","₹12,399/month"," ₹30,000 OFF",Hyderabad
2017 Hyundai Elite i20,ASTA 1.2 DUAL TONE Manual,"63,730 km1st OwnerPetrol","₹658,599","₹14,650/month"," ₹10,000 OFF",Hyderabad
2017 Honda Jazz,VX  1.2 Manual,"75,366 km2nd OwnerPetrol","₹574,199","₹12,773/month"," ₹31,000 OFF",Hyderabad
2017 Maruti Baleno,DELTA 1.2 K12 Manual,"44,103 km1st OwnerPetrol","₹551,399","₹12,266/month"," ₹14,000 OFF",Hyderabad
,,,,,,Hyderabad
,,,,,,Hyderabad
2019 Renault Kwid,1.0 RXT Opt Manual,"31,559 km1st OwnerPetrol","₹407,599","₹9,067/month"," ₹27,000 OFF",Hyderabad
2012 Maruti Ritz,VXI ABS Manual,"116,534 km2nd OwnerPetrol","₹315,499","₹7,018/month"," ₹24,000 OFF",Hyderabad
2019 Maruti Vitara Brezza,ZDI PLUS DUAL TONE Manual,"47,557 km1st OwnerDiesel","₹1,018,499","₹22,656/month"," ₹36,000 OFF",Hyderabad
2018 Hyundai NEW SANTRO,1.1 MAGNA MT Manual,"22,525 km1st OwnerPetrol","₹450,599","₹10,023/month"," ₹20,000 OFF",Hyderabad
2019 Hyundai NEW SANTRO,SPORTZ 1.1 Manual,"6,196 km2nd OwnerPetrol","₹504,399","₹11,220/month"," ₹16,000 OFF",Hyderabad
2019 Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"9,338 km2nd OwnerPetrol","₹456,199","₹10,148/month"," ₹20,000 OFF",Hyderabad
2014 Honda Amaze,1.2 SMT I VTEC Manual,"55,562 km1st OwnerPetrol","₹436,699","₹9,714/month"," ₹18,000 OFF",Hyderabad
2017 Volkswagen Polo,HIGHLINE1.5L DIESEL Manual,"38,926 km1st OwnerDiesel","₹618,599","₹13,760/month"," ₹33,000 OFF",Hyderabad
2015 Maruti Alto 800,VXI Manual,"47,374 km1st OwnerPetrol","₹257,799","₹5,735/month"," ₹36,000 OFF",Hyderabad
2016 Hyundai Verna,FLUIDIC 1.6 SX VTVT OPT Manual,"83,328 km1st OwnerPetrol","₹652,299","₹14,510/month"," ₹5,000 OFF",Hyderabad
2016 Maruti Vitara Brezza,VDI Manual,"153,631 km1st OwnerDiesel","₹654,499","₹14,559/month"," ₹35,000 OFF",Hyderabad
2016 Hyundai Elite i20,Sportz 1.2 VTVT MT ,"24,365 km1st OwnerPetrol","₹620,199","₹13,796/month"," ₹32,000 OFF",Hyderabad
2019 Hyundai GRAND I10 NIOS,Asta Petrol Manual,"33,518 km1st OwnerPetrol","₹655,899","₹14,590/month"," ₹5,000 OFF",Hyderabad
2019 Toyota Innova Crysta,2.4 GX 8 STR Manual,"187,298 km1st OwnerDiesel","₹1,465,799","₹32,606/month"," ₹50,000 OFF",Hyderabad
2019 Maruti Dzire,VXI Manual,"3,919 km1st OwnerPetrol","₹671,299","₹14,933/month"," ₹7,000 OFF",Hyderabad
2013 Hyundai Verna,FLUIDIC 1.6 SX CRDI OPT Manual,"53,517 km1st OwnerDiesel","₹482,299","₹10,728/month"," ₹42,000 OFF",New Delhi
2017 Toyota Innova Crysta,Touring Sport Diesel AT Automatic,"85,295 km1st OwnerDiesel","₹1,499,499","₹33,356/month"," ₹50,000 OFF",New Delhi
2016 Maruti Baleno,ALPHA DDIS 190 Manual,"63,654 km1st OwnerDiesel","₹572,599","₹12,737/month"," ₹31,000 OFF",New Delhi
2015 Maruti Swift,VDI ABS Manual,"37,925 km1st OwnerDiesel","₹405,199","₹9,013/month"," ₹30,000 OFF",New Delhi
2016 Honda Amaze,1.2 SMT I VTEC Manual,"66,399 km2nd OwnerPetrol + CNG","₹482,099","₹10,724/month"," ₹26,000 OFF",New Delhi
,,,,,,New Delhi
,,,,,,New Delhi
2014 Ford Ecosport,1.5TITANIUM TDCI Manual,"127,254 km1st OwnerDiesel","₹474,799","₹10,562/month"," ₹25,000 OFF",New Delhi
2017 Ford New Figo,1.5 TITANIUM Manual,"41,678 km2nd OwnerDiesel","₹482,799","₹10,740/month"," ₹26,000 OFF",New Delhi
2020 Maruti New  Wagon-R,LXI 1.0 L Manual,"6,879 km1st OwnerPetrol","₹490,799","₹10,918/month"," ₹28,000 OFF",New Delhi
2016 Maruti Vitara Brezza,ZDI Manual,"70,555 km2nd OwnerDiesel","₹635,399","₹14,134/month"," ₹50,000 OFF",New Delhi
2019 Hyundai GRAND I10 NIOS,Asta Petrol ,"3,747 km1st OwnerPetrol","₹622,699","₹13,852/month"," ₹28,000 OFF",New Delhi
2016 Hyundai Creta,1.6 SX PLUS DIESEL Manual,"95,195 km1st OwnerDiesel","₹862,499","₹19,186/month"," ₹41,000 OFF",New Delhi
2018 Datsun Redi Go,1.0 S AT ,"21,607 km1st OwnerPetrol","₹340,399","₹7,572/month"," ₹29,000 OFF",New Delhi
2018 Ford Ecosport,1.5TITANIUM TDCI Manual,"21,169 km1st OwnerDiesel","₹867,799","₹19,304/month"," ₹27,000 OFF",New Delhi
2013 Maruti Swift Dzire,LDI BS IV Manual,"49,944 km2nd OwnerDiesel","₹354,299","₹7,881/month"," ₹26,000 OFF",New Delhi
2017 Tata Tiago,XT 1.2 REVOTRON Manual,"80,573 km1st OwnerPetrol","₹459,599","₹10,224/month"," ₹25,000 OFF",New Delhi
2014 Ford Ecosport,1.5TITANIUM TDCI Manual,"62,254 km1st OwnerDiesel","₹540,099","₹12,014/month"," ₹29,000 OFF",New Delhi
2017 Maruti Vitara Brezza,VDI OPT Manual,"34,749 km1st OwnerDiesel","₹834,399","₹18,561/month"," ₹5,000 OFF",New Delhi
